DirectorID,DirectorName,MovieCount,Director_AvgRating
nm5914466,Pc Shekhar,4,7.85
nm3204205,Brett Whitcomb,4,7.85
nm0464804,Satoshi Kon,4,7.85
nm1023596,Mandy Stein,4,7.85
nm1471017,Tim Ford,4,7.85
nm0317685,Serge Gigu??re,4,7.85
nm0044726,Ante Babaja,5,7.84
nm0061763,Branko Bauer,15,7.84
nm0503635,Murray Lerner,8,7.8375
nm1084096,Dwayne Buckle,8,7.8375
nm0538306,Tarun Majumdar,38,7.834210526
nm0056423,Chandra Barot,3,7.833333333
nm1137799,Maple Razsa,3,7.833333333
nm2521807,Beth Murphy,3,7.833333333
nm1297226,Claudio Costa,3,7.833333333
nm1387582,Andrew Swant,3,7.833333333
nm3588437,Amit Dutta,3,7.833333333
nm1646089,Julia Bacha,3,7.833333333
nm2277489,Nick Brandestini,3,7.833333333
nm2054543,Fabio Wuytack,3,7.833333333
nm5986857,Keegan Kuhn,3,7.833333333
nm5928226,K.M. Chaitanya,3,7.833333333
nm2085641,Trisha Ray,3,7.833333333
nm0353532,Lorenzo Hagerman,3,7.833333333
nm0621029,Julian Napier,3,7.833333333
nm0162579,Frank Ciota,3,7.833333333
nm0003907,Peter Rosen,8,7.825
nm0665374,Jabbar Patel,9,7.822222222
nm0356968,Tamar Halpern,5,7.82
nm1100866,Dylan Verrechia,5,7.82
nm0007187,Subba Rao B.A.,6,7.816666667
nm0625747,Stanley Nelson,8,7.8125
nm0359144,Ziad H. Hamzeh,8,7.8125
nm0517665,Tom Logan,17,7.811764706
nm0000040,Stanley Kubrick,13,7.807692308
nm0169674,Paul Cohen,3,7.8
nm1869133,Arturo P??rez Torres,3,7.8
nm1745298,Roger Lay Jr.,12,7.8
nm1455949,Igor Stoimenov,3,7.8
nm1032178,Hemambharadhara Rao K.,3,7.8
nm0872304,Augusto Tretti,3,7.8
nm0683400,John Pilger,3,7.8
nm0666014,Yvan Patry,4,7.8
nm4822002,Suraj Subba,3,7.8
nm3826767,Kenneth Barr,3,7.8
nm2020639,Joseph Mathew,3,7.8
nm0797046,Hubertus Siegert,3,7.8
nm0433347,Audrius Juzenas,3,7.8
nm0344319,David Grubin,4,7.8
nm0097870,Dilip Bose,3,7.8
nm4081646,Arnie Voysey,3,7.8
nm0928370,Nettie Wild,4,7.8
nm0764869,Sarath,3,7.8
nm0493967,Fabrizio Lazzaretti,3,7.8
nm0484484,Saul Landau,3,7.8
nm0932076,Kent C. Williamson,3,7.8
nm0791488,Patrick Shen,3,7.8
nm0157329,Alcides Chiesa,3,7.8
nm2543803,Sara Hribar,4,7.8
nm1552470,Landon Van Soest,3,7.8
nm1168749,Ernesto Ardito,3,7.8
nm0670794,Micha X. Peled,3,7.8
nm0237707,Robert Drew,6,7.8
nm0025576,Dhimiter Anagnosti,8,7.8
nm0904036,Antun Vrdoljak,12,7.8
nm0562222,Chris Maybach,3,7.8
nm0438118,Murlidhar Kapdi,3,7.8
nm0006498,Majid Majidi,11,7.8
